"CODIGO","NOMBRE","CATEGORIA","TECNOLOGIA","ESTADO","FECHA_INSTALACION","FECHA_SUSPENSION","ALTITUD","LATITUD","LONGITUD","DEPARTAMENTO","MUNICIPIO","AREA_OPERATIVA","ENTIDAD","AREA_HIDROGRAFICA","ZONA_HIDROGRAFICA","SUBZONA_HIDROGRAFICA","CORRIENTE","OBSERVACION","SUBRED"
11010020,"AGRICOLA LLORO GJA  [11010020]","Pluviométrica","Convencional","Suspendida","15/01/1952","15/10/1959",120,"5,50","-76,53333333","Choco","Lloró","Area Operativa 01 - Antioquia-Chocó","MINISTERIO DE AGRICULTURA","Caribe","Atrato - Darién","Alto Atrato",,,
11020060,"CARMEN EL  [11020060]","Pluviométrica","Convencional","Suspendida","15/01/1932","15/12/1961",720,"5,8333333330","-76,66666667","Choco","El Carmen","Area Operativa 01 - Antioquia-Chocó","MINISTERIO DE AGRICULTURA","Caribe","Atrato - Darién","Río Bebaramá y otros Directos Atrato (md)",,,
11025501,"CARMEN DE ATRATO  - AUT  [11025501]","Climatológica Principal","Automática con Telemetría","Activa","16/12/2013",,1683,"5,8887194440","-76,14516667","Choco","El Carmen","Area Operativa 01 - Antioquia-Chocó","CENTRO NACIONAL DE INVESTIGACIONES DE CAFÉ","Caribe","Atrato - Darién","Alto Atrato",,"Mediante orfeo 20191040002573 se hace entrega del archivo Excel que contiene el catálogo de estaciones automáticas de Cenicafé, el cual comprende 103 estaciones, con el fin de que se actualice su metadata en el Catálogo Nacional de estaciones del IDEAM.",
11030050,"QUIBDO  [11030050]","Pluviométrica","Convencional","Suspendida","15/01/1950","15/07/1952",30,"5,6833333330","-76,68333333","Choco","Quibdó","Area Operativa 01 - Antioquia-Chocó","MINISTERIO DE OBRAS PÚBLICAS","Caribe","Atrato - Darién","Río Quito",,,
11030060,"INST DEL CHOCO  [11030060]","Pluviométrica","Convencional","Suspendida","15/06/1931","15/12/1955",33,"5,6833333330","-76,66666667","Choco","Quibdó","Area Operativa 01 - Antioquia-Chocó","MINISTERIO DE LA ECONOMÍA","Caribe","Atrato - Darién","Río Quito",,,
11060020,"POCITOS  [11060020]","Pluviográfica","Convencional","Suspendida","15/04/1990","15/04/1993",890,"6,2333333330","-76,33333333","Antioquia","Urrao","Area Operativa 01 - Antioquia-Chocó","EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.","Caribe","Atrato - Darién","Directos Atrato entre ríos Bebaramá y Murrí (md)",,,
11060030,"CAMPO BONITO  [11060030]","Pluviográfica","Convencional","Activa","15/08/1989",,120,"6,2166666670","-76,48333333","Antioquia","Vigia Del Fuerte","Area Operativa 01 - Antioquia-Chocó","EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.","Caribe","Atrato - Darién","Directos Atrato entre ríos Bebaramá y Murrí (md)",,,
11067010,"CAMPO BONITO RP 11  [11067010]","Limnigráfica","Convencional","Activa","15/08/1989",,115,"6,20","-76,48333333","Antioquia","Vigia Del Fuerte","Area Operativa 01 - Antioquia-Chocó","EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.","Caribe","Atrato - Darién","Directos Atrato entre ríos Bebaramá y Murrí (md)","ARQUÍA",,
11070050,"URRAO  [11070050]","Pluviométrica","Convencional","Suspendida","15/03/1959","15/12/1969",1875,"6,3333333330","-76,16666667","Antioquia","Urrao","Area Operativa 01 - Antioquia-Chocó","INSTITUTO COLOMBIANO DE ENERGÍA ELÉCTRICA (ELECTRAGUAS)","Caribe","Atrato - Darién","Río Murrí",,,
11070060,"CARAUTICA  [11070060]","Pluviográfica","Convencional","Suspendida","15/03/1978","15/01/1980",1995,"6,6166666670","-76,20","Antioquia","Frontino","Area Operativa 01 - Antioquia-Chocó","EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.","Caribe","Atrato - Darién","Río Murrí",,,
11070070,"CRUCES  [11070070]","Pluviográfica","Convencional","Activa","15/03/1978",,950,"6,4833333330","-76,35","Antioquia","Urrao","Area Operativa 01 - Antioquia-Chocó","EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.","Caribe","Atrato - Darién","Río Murrí",,,
11070080,"MANDE  [11070080]","Pluviográfica","Convencional","Activa","15/03/1978",,495,"6,4333333330","-76,45","Antioquia","Urrao","Area Operativa 01 - Antioquia-Chocó","EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.","Caribe","Atrato - Darién","Río Murrí",,,
11070090,"STA BARBARA  [11070090]","Pluviográfica","Convencional","Activa","15/03/1978",,2595,"6,40","-76,06666667","Antioquia","Urrao","Area Operativa 01 - Antioquia-Chocó","EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.","Caribe","Atrato - Darién","Río Murrí",,,
